"Treatment","GPP (g C)","Ra (g C)","Rm_root (g C)","Rg_root (g C)","Cs_foliage (g C)","Cs_wood (g C)","Cs_root (g C)","Clit_foliage (g C)","Cn (g C)","Clit_root (g C)"
"ambient drought",4131.63050180152,1191.00490413492,312.279429075747,103.305438019832,192.913648914716,1396.56073021362,344.351460066107,28.4524147838337,154.767256620101,2.84524147838337
"ambient watered",5125.26886152139,1354.92459365294,313.296588859358,157.109420702536,346.106965164376,1884.64353989964,523.698069008453,46.8041550337987,-47.075677281329,4.68041550337987
"elevated drought",4226.590757443,1340.26231134651,318.487199977278,74.4270637936326,-31.7070318096401,1603.21203249463,248.090212645442,74.1854507885267,128.693399684682,7.41854507885267
"elevated watered",4930.43112508745,1598.2230352028,379.203502781291,5.39657847753606,83.21047593711,2067.25412802765,17.9885949251202,156.591948472711,87.931748011655,15.6591948472711
